,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGWAGE,num_patents
0,0,2005,311010,812,-0.6008786739919012,-0.40872207665529176,-0.12540667668908662,3.6775543047568826,10.249996408944776,1.818
1,1,2005,311010,831,-0.8774278729277454,-0.6412507730012904,-0.20940671316940784,3.726242190440505,10.07748682799119,1.818
2,2,2005,311010,832,-1.431479019083823,-0.670357766786518,-0.10118585385264281,3.7006644871458234,9.834282055383252,1.818
3,3,2006,311010,812,-0.8267762246664068,-0.32363631044520447,-0.08089391856344648,3.665944017715053,10.177413902047787,1.969
4,4,2006,311010,831,-0.8958309400411306,-0.6695398126058388,-0.2365589885730402,3.7363537939928833,10.05127061396702,1.969
5,5,2006,311010,832,-1.3944856707194817,-0.66445484924161,-0.09020317505193068,3.7032753343976688,9.834509550410546,1.969
6,6,2007,311010,812,-0.7079850901137597,-0.27438389782892864,-0.07705923509180584,3.654835401547383,10.173599452464499,2.183
7,7,2007,311010,831,-0.8508827702020783,-0.6429901105762977,-0.2320526431364675,3.7264856404457363,10.045211939451386,2.183
8,8,2007,311010,832,-1.3658261554011872,-0.6780105739362658,-0.09769629764567611,3.703301450644186,9.844756930104964,2.183
9,9,2008,311010,812,-0.5501666416184093,-0.19534895950032596,-0.14190909493965295,3.691986654956685,10.164570598349924,2.277
10,10,2008,311010,831,-0.7958660774667612,-0.6610074902246948,-0.22642337391153736,3.7355575884635988,10.051113265882737,2.277
11,11,2008,311010,832,-1.148462289052615,-0.6311972746357044,-0.07594516324551381,3.7101197308819875,9.850596110046764,2.277
12,12,2009,311010,812,-0.5466306213218425,-0.32531403123614433,-0.06496127326014432,3.679864583017721,10.254262359172813,2.25
13,13,2009,311010,831,-0.743867448760558,-0.625982724592328,-0.21097781677477384,3.7363441831555786,10.114916215352487,2.25
14,14,2009,311010,832,-1.253515828329694,-0.6414475555133182,-0.09867823008159007,3.7134157453071976,9.853179267184874,2.25
15,15,2010,311010,812,-0.5212672963236764,-0.3473555317017801,-0.1306977983184505,3.6871388096361524,10.32900292843303,2.335
16,16,2010,311010,831,-0.7610570973150457,-0.6475443013990368,-0.24166787393019135,3.7442700996735563,10.090586966310129,2.335
17,17,2010,311010,832,-1.1469903214048416,-0.6616163598138575,-0.08625790546523443,3.7099828856011228,9.857927945487189,2.335
18,18,2011,311010,812,-0.47211572902787424,-0.22681629766552855,-0.07728151270490002,3.7159851675592743,10.329101253089881,2.404
19,19,2011,311010,831,-0.6653326275820501,-0.598115792662821,-0.267208235601029,3.7504498617976205,10.073699770798246,2.404
20,20,2011,311010,832,-1.0364707681568692,-0.6476021358087662,-0.10091291366615394,3.7112735310812504,9.824498017370209,2.404
21,21,2012,311010,812,-0.5073825754857731,-0.2205516393522911,-0.14825474080768097,3.7082519923750574,10.443936054624801,2.719
22,22,2012,311010,831,-0.5845914373823415,-0.5593754397224661,-0.24085747157507506,3.7433162239646465,10.122179433736916,2.719
23,23,2012,311010,832,-1.007344707516457,-0.6258448998392847,-0.10151003183045243,3.7049150322057454,9.795392372204399,2.719
24,24,2013,311010,812,-0.4291221765251423,-0.3538966610620674,-0.1186654457519372,3.696625297197657,10.45515390731069,2.98
25,25,2013,311010,831,-0.5884734552351206,-0.5951077848996356,-0.279393326225509,3.7384275074939985,10.12042991696772,2.98
26,26,2013,311010,832,-0.9657351088736383,-0.6330517012213257,-0.10285059622523984,3.708856769156215,9.820058082209135,2.98
27,27,2014,311010,812,-0.4726949666343691,-0.3594603108349112,-0.1660707647510981,3.6562701705483085,10.31698109060395,3.247
28,28,2014,311010,831,-0.6040976513709576,-0.6307761747559891,-0.23598158454098417,3.7191235621305347,10.025906022536606,3.247
29,29,2014,311010,832,-1.0043500247788648,-0.6902085240598274,-0.10080473567162578,3.7213498173276744,9.808186572922992,3.247
30,30,2015,311010,812,-0.5496871462333421,-0.4093939550315122,-0.09449123812019022,3.694845663392507,10.522142863048643,3.451
31,31,2015,311010,831,-0.5934447670483051,-0.6789829111090396,-0.22648896291065293,3.725080146911162,10.04654462033495,3.451
32,32,2015,311010,832,-1.000604813026478,-0.7172428210745594,-0.09990989576795892,3.717431522034686,9.834357641540317,3.451
33,33,2016,311010,812,-0.457938308389496,-0.3239400143940733,-0.08721765825486538,3.717651484926244,10.367680650948461,4.496
34,34,2016,311010,831,-0.624548424595964,-0.704089017583684,-0.22837071119733346,3.7194863093084574,10.051373017168489,4.496
35,35,2016,311010,832,-1.0578903127328803,-0.6878536541335245,-0.09444574795097224,3.7179371359626003,9.836071326419336,4.496
36,36,2017,311010,812,-0.5112615554406054,-0.3153837568063061,-0.11395975797160188,3.660865120666658,10.321463639602236,4.432
37,37,2017,311010,831,-0.5496188602196717,-0.6377613909505321,-0.26242714410331286,3.7055567876233284,10.071038258463645,4.432
38,38,2017,311010,832,-1.0254267047248524,-0.7428040413486764,-0.09257938203559982,3.7110236222880344,9.84365817370817,4.432
