occ_code,occ_code,11-2021,11-3021,11-3031,13-1031,13-1032,13-1041,13-1111,13-2041,13-2052,13-2053,13-2061,13-2071,13-2072,15-2011,15-2031,15-2041,23-2093,33-9021,41-1012,41-3021,41-3031,43-1011,43-3011,43-3071,43-4011,43-4021,43-4041,43-4051,43-4131,43-4141,43-6011,43-9021,43-9041,43-9051,43-9071,43-9111,year
,occ_title,Marketing managers,Computer and information systems managers,Financial managers,"Claims adjusters, examiners, and investigators","Insurance appraisers, auto damage","Compliance officers, except agriculture, construction, health and safety, and transportation",Management analysts,Credit analysts,Personal financial advisors,Insurance underwriters,Financial examiners,Loan counselors,Loan officers,Actuaries,Operations research analysts,Statisticians,"Title examiners, abstractors, and searchers",Private detectives and investigators,First-line supervisors/managers of non-retail sales workers,Insurance sales agents,"Securities, commodities, and financial services sales agents",First-line supervisors/managers of office and administrative support workers,Bill and account collectors,Tellers,Brokerage clerks,Correspondence clerks,"Credit authorizers, checkers, and clerks",Customer service representatives,Loan interviewers and clerks,New accounts clerks,Executive secretaries and administrative assistants,Data entry keyers,Insurance claims and policy processing clerks,"Mail clerks and mail machine operators, except postal service","Office machine operators, except computer",Statistical assistants,
3,tot_emp_2008,166790,276820,500590,277230,11280,242270,535850,74400,146690,98690,26020,29430,321850,18220,60860,20680,59390,35820,275390,327780,271900,1404330,408760,600380,68430,13450,65020,2233270,212340,87300,1491520,272810,237800,137350,79470,16900,2008
6,tot_emp_2009,169330,287210,495180,273930,10960,247900,552770,67950,149460,98430,26050,30360,298200,17940,60960,21370,56820,31250,261200,325710,271670,1381060,403100,576580,62470,10370,57220,2195860,195310,81650,1361170,243550,235480,131750,70230,15900,2009
9,tot_emp_2010,164590,288660,478940,262540,10280,204000,536310,62680,155360,95350,27860,29560,283330,18320,62210,22830,50490,28210,244320,318800,276290,1359950,399950,556310,57600,9470,53770,2146120,181600,67170,1132070,219530,231570,119960,66580,15490,2010
12,tot_emp_2011,168410,300830,477690,263810,10950,210510,538950,59140,161790,92840,28050,29400,284530,19590,65030,23770,49760,26080,235630,321780,307020,1364720,390800,544150,60720,8680,51240,2212820,186240,60830,952030,211200,218630,115010,66280,14780,2011
15,tot_emp_2012,171430,309740,484910,263280,11770,227500,540440,61240,175470,91810,28060,27640,286670,21340,69180,25570,49390,23390,243420,336740,330470,1359150,385890,541770,61870,10150,51650,2299750,192010,55320,803040,207280,226260,102410,66820,14870,2012
18,tot_emp_2013,174010,319080,499320,275500,13180,236090,567840,66490,183420,92540,30680,27710,301860,20080,72680,24950,53640,25820,245780,354460,325140,1366510,368850,527680,60300,7800,50240,2389580,213270,56990,755210,207660,236160,99140,66840,15640,2013
21,tot_emp_2014,184490,330360,518030,266280,13690,246970,587450,69390,196490,91720,36830,29600,300580,21490,86950,26970,52960,26880,248770,374700,316340,1404070,346960,514520,57240,7580,46320,2511130,212440,52260,713730,205950,252670,99190,66530,14110,2014
24,tot_emp_2015,192890,341250,531120,271600,15270,257010,614110,70840,197580,89960,44200,30510,303870,19770,95860,29870,54620,30460,247850,386140,319280,1424450,318970,498460,57490,7320,41880,2595990,216380,48970,666490,199240,262910,95640,63290,13510,2015
27,tot_emp_2016,205900,352510,543300,274420,15130,273910,637690,72930,201850,91650,49750,34110,305700,19940,109150,33440,54560,28490,252670,385700,353780,1443150,298960,496760,59820,6780,37680,2707040,224340,41630,631610,194810,274350,91530,58160,10900,2016
30,tot_emp_2017,218970,365690,569380,282030,16150,287130,659200,74850,200920,89910,52580,35900,307240,19210,106050,36540,53040,30980,251830,386320,389610,1458380,271700,491150,58930,6370,34350,2767790,227430,41680,596080,180100,277130,85800,54950,10110,2017
33,tot_emp_2018,240440,391430,608120,287730,15200,300900,684470,74820,200260,96040,58590,35740,304950,20760,104200,39920,52180,30990,247570,393830,415890,1477560,251330,468470,55100,5460,29980,2871400,222620,41500,570530,174930,274560,86150,48580,11010,2018
36,tot_emp_2019,263680,433960,654790,287960,13750,317600,709750,73930,210190,100050,64550,32110,308370,22260,99680,39090,52890,35000,249090,410050,437880,1487870,235870,442120,47990,6250,26700,2919230,208530,43420,542690,159930,257000,83580,45960,9810,2019
